SBO PN,Name of Material,Specification and Type,Description,Manufacturer PN,Manufacturer,Quantity,PCB Footprint,Part Reference,State,Part number
CE270660121,电阻,R0603 68K 1%,R0603 68K 1%,无,无,1,R0603,R2,B,CE270660121
CE270660152,电阻,R0603 680K 1% 50V ,R0603 680K 1% 50V ,AC0603FR-07680KL,YAGEO,3,R0603,R1 R33 R35,B,CE270601065
CE270660196,电阻,R RC0603FR-10220KL,R0603 220K 1% 0.1W -55℃~+155℃,RC0603FR-10220KL,Yageo,1,R0603,R3,B,CE270601142
CE270660264,电阻,RN0603 33R*4 5% 0.063w -55C~125C,RN0603 33R*4 5% 0.063w -55C~125C,EXB-38V330JV,Panasonic,9,RN0603,RN1 RN2 RN3 RN4 RN5 RN6 RN7 RN8 RN9,A2,CE270600147
CE270660278,电阻,R0603 100KR 1% 0.1w -55C~155C,R0603 100KR 1% 0.1w -55C~155C,ERJ-3EKF1003V,Panasonic,11,R0603,R14 R15 R16 R29 R37 R39 R44 R45 R47 R49 R84,A2,CE270600083
CE270660298,电阻,R0603 1K2R 1% 0.1w -55C~155C,R0603 1K2R 1% 0.1w -55C~155C,AC0603FR-071K2L,YAGEO,2,R0603,R77 R78,A1,CE270600037
CE270700049,变压器,T PA6383-AL,LT3999专用5V转+-5V 1A输出变压器，匝数比1:1.5，源边电感29.7-49.5uH，-40度-125度,PA6383-AL,Coilcraft,1,PA6383-AL,T1,B,CE270700049
CE271000260,排针,c3120-10    2mm 双排孔 10Pin 180度,2mm 双排孔 10Pin 180度     MSL：1,c3120-10,上海介电电子,1,CON5x2_200_F,J1,A1,CE271000260
CE271050274,排针,"DC3插座 7*2/2.0 180度    2.00mm/14Ppin双排针,带围边","2.00mm/14Ppin双排针,带围边",无,,1,CON7x2_2mm_m_EX,P1,B,CE271000055
CE271060617,连接器,M12-12pin母座连接器,"M12-12pin母座连接器,面板安装,通孔,直角,-30°C ~ 85°C",43-02742,Conec,1,M12-12-F,U29,B,CE271060617
CE271060618,连接器,USB3.0插座连接器90°,USB3.0插座连接器90°A口 -55°C ~ 85°C,10117835-001LF,Amphenol FCI,1,USB3-A,J3,B,CE271060618
CE271150032,跳线,  2.00mm/2端跳线,2.00mm/2端跳线,无,,1,DIP_JP2_80MIL,JP1,B,CE271100009
